"DRG.Code","drg"
519,"Uterine & adnexa procedures for leiomyoma"
530,"Female reproductive system malignancy"
531,"Female reproductive system infections"
532,"Menstrual & other female reproductive system disorders"
540,"Cesarean delivery"
541,"Vaginal delivery w sterilization &/or D&C"
542,"Vaginal delivery w complicating procedures exc sterilization &/or D&C"
544,"D&C, aspiration curettage or hysterotomy for obstetric diagnoses"
545,"Ectopic pregnancy procedure"
546,"Other O.R. proc for obstetric diagnoses except delivery diagnoses"
560,"Vaginal delivery"
561,"Postpartum & post abortion diagnoses w/o procedure"
563,"Preterm labor"
564,"Abortion w/o D&C, aspiration curettage or hysterotomy"
565,"False labor"
566,"Other antepartum diagnoses"
580,"Neonate, transferred <5 days old, not born here"
581,"Neonate, transferred < 5 days old, born here"
583,"Neonate w ECMO"
588,"Neonate bwt <1500g w major procedure"
589,"Neonate bwt <500g or GA <24 weeks"
591,"Neonate birthwt 500-749g w/o major procedure"
593,"Neonate birthwt 750-999g w/o major procedure"
602,"Neonate bwt 1000-1249g w resp dist synd/oth maj resp or maj anom"
603,"Neonate birthwt 1000-1249g w or w/o other significant condition"
607,"Neonate bwt 1250-1499g w resp dist synd/oth maj resp or maj anom"
608,"Neonate bwt 1250-1499g w or w/o other significant condition"
609,"Neonate bwt 1500-2499g w major procedure"
611,"Neonate birthwt 1500-1999g w major anomaly"
612,"Neonate bwt 1500-1999g w resp dist synd/oth maj resp cond"
613,"Neonate birthwt 1500-1999g w congenital/perinatal infection"
614,"Neonate bwt 1500-1999g w or w/o other significant condition"
621,"Neonate bwt 2000-2499g w major anomaly"
622,"Neonate bwt 2000-2499g w resp dist synd/oth maj resp cond"
623,"Neonate bwt 2000-2499g w congenital/perinatal infection"
625,"Neonate bwt 2000-2499g w other significant condition"
626,"Neonate bwt 2000-2499g, normal newborn or neonate w other problem"
630,"Neonate birthwt >2499g w major cardiovascular procedure"
631,"Neonate birthwt >2499g w other major procedure"
633,"Neonate birthwt >2499g w major anomaly"
634,"Neonate, birthwt >2499g w resp dist synd/oth maj resp cond"
636,"Neonate birthwt >2499g w congenital/perinatal infection"
639,"Neonate birthwt >2499g w other significant condition"
640,"Neonate birthwt >2499g, normal newborn or neonate w other problem"
650,"Splenectomy"
651,"Other procedures of blood & blood-forming organs"
660,"Major hematologic/immunologic diag exc sickle cell crisis & coagul"
661,"Coagulation & platelet disorders"
662,"Sickle cell anemia crisis"
663,"Other anemia & disorders of blood & blood-forming organs"
680,"Major O.R. procedures for lymphatic/hematopoietic/other neoplasms"
681,"Other O.R. procedures for lymphatic/hematopoietic/other neoplasms"
690,"Acute leukemia"
691,"Lymphoma, myeloma & non-acute leukemia"
692,"Radiotherapy"
693,"CHEMOTHERAPY"
694,"Lymphatic & other malignancies & neoplasms of uncertain behavior"
710,"Infectious & parasitic diseases including HIV w O.R. procedure"
711,"Post-op, post-trauma, other device infections w O.R. procedure"
720,"Septicemia & disseminated infections"
721,"Post-operative, post-traumatic, other device infections"
722,"Fever"
723,"Viral illness"
724,"Other infectious & parasitic diseases"
740,"Mental illness diagnosis w O.R. procedure"
750,"Schizophrenia"
751,"Major depressive disorders & other/unspecified psychoses"
752,"Disorders of personality & impulse control"
753,"Bipolar disorders"
754,"Depression except major depressive disorder"
755,"Adjustment disorders & neuroses except depressive diagnoses"
756,"Acute anxiety & delirium states"
757,"Organic mental health disturbances"
758,"Behavioral disorders"
759,"Eating disorders"
760,"Other mental health disorders"
770,"Drug & alcohol abuse or dependence, left against medical advice"
772,"Alcohol & drug dependence w rehab or rehab/detox therapy"
773,"Opioid abuse & dependence"
774,"Cocaine abuse & dependence"
775,"Alcohol abuse & dependence"
776,"Other drug abuse & dependence"
791,"O.R. procedure for other complications of treatment"
811,"Allergic reactions"
812,"Poisoning of medicinal agents"
813,"Other complications of treatment"
815,"Other injury, poisoning & toxic effect diagnoses"
816,"Toxic effects of non-medicinal substances"
841,"Extensive 3rd degree burns w skin graft"
842,"Burns with skin graft except extensive 3rd degree burns"
843,"Extensive 3rd degree or full thickness burns w/o skin graft"
844,"Partial thickness burns without skin graft"
850,"Procedure w diag of rehab, aftercare or oth contact w health service"
860,"Rehabilitation"
861,"Signs, symptoms & other factors influencing health status"
862,"Other aftercare & convalescence"
863,"Neonatal aftercare"
890,"HIV w multiple major HIV related conditions"
892,"HIV w major HIV related condition"
893,"HIV w multiple significant HIV related conditions"
894,"HIV w one signif HIV cond or w/o signif related cond"
910,"Craniotomy for multiple significant trauma"
911,"Extensive abdominal/thoracic procedures for mult significant trauma"
912,"Musculoskeletal & other procedures for multiple significant trauma"
930,"Multiple significant trauma w/o O.R. procedure"
950,"Extensive procedure unrelated to principal diagnosis"
951,"Moderately extensive procedure unrelated to principal diagnosis"
952,"Nonextensive procedure unrelated to principal diagnosis"
NA,"Ungroupable;; Principal diagnosis invalid as discharge diagnosis"
